filename,doc_id,path,type,extension,size_Mb,hash,language,pages,sheets,table_count,dpi,noise,img_width,img_height,dpi_estimated,is_low_dpi,skew_angle,requires_ocr,image_count,has_geo_headers,ocr_risk
seismic polarity.png,seismic polarity,data\raw\images,images,png,0.13,edfcdd9ce6d8671b5cbe06c2b7cf2af2,unknown,,,0,95.9866,60.750838087914616,8731.586677902891,235.58234688404406,95.9866,True,-90.0,True,1,,high
Seismic-Cross-Section-over-the-Mid-North-Sea-High-from-the-Anglo-Dutch-Basin.jpg,Seismic-Cross-Section-over-the-Mid-North-Sea-High-from-the-Anglo-Dutch-Basin,data\raw\images,images,jpg,0.677,e91933d053fc16bb4448dce64a55e08d,unknown,,,0,96.0,69.525436010013,28547.625426369603,173.24169129322513,96.0,True,-90.0,True,1,,high
Series-of-seismic-reflection-profiles-showing-the-differences-in-rift-geometries-and-rift.jpg,Series-of-seismic-reflection-profiles-showing-the-differences-in-rift-geometries-and-rift,data\raw\images,images,jpg,0.463,f601ad48d2e939c95e2fd3e28cf90276,unknown,,,0,96.0,65.56690982624134,11383.608334550378,177.12442228197713,96.0,True,-90.0,True,1,,high
The-poststack-inversion-workflow-was-used-in-this-study-in-which-three-key-components.jpg,The-poststack-inversion-workflow-was-used-in-this-study-in-which-three-key-components,data\raw\images,images,jpg,0.119,1385bd50145ca39ed97ca0998a3a47f8,unknown,,,0,96.0,52.97339697346123,10266.783881352225,241.49979747996758,96.0,True,-90.0,True,1,,high
vertical-and-horizontal-stratigraphic-compartmentalization-and-baffling-by-reservoi.jpg,vertical-and-horizontal-stratigraphic-compartmentalization-and-baffling-by-reservoi,data\raw\images,images,jpg,0.072,3caf4a2777fa98f62086ad5ae0fa93fe,unknown,,,0,96.0,48.386247696346594,1701.5497784506356,243.1184071081569,96.0,True,-90.0,True,1,,high
Workflow-for-seismic-interpretation.jpg,Workflow-for-seismic-interpretation,data\raw\images,images,jpg,0.284,b9d8efb106dd214123b87d635679bca5,unknown,,,0,96.0,54.334440550571365,4860.098916559786,224.37901522479427,96.0,True,-90.0,True,1,,high
Basic elements of a reservoir characterization study.txt,Basic elements of a reservoir characterization study,data\raw\txt,txt,txt,0.011,30b2d1cdb5a1b3afc306c73d83e78cb1,en,,,0,,,,,,False,,False,0,True,low
Geophysics.txt,Geophysics,data\raw\txt,txt,txt,0.003,8c3c7368d1c41b35159801b78a2198e3,en,,,0,,,,,,False,,False,0,True,low
Geostatistical reservoir modeling.txt,Geostatistical reservoir modeling,data\raw\txt,txt,txt,0.016,e0a9b95062a0090029abae008ce86689,en,,,0,,,,,,False,,False,0,True,low
Geostatistics.txt,Geostatistics,data\raw\txt,txt,txt,0.011,5e20335a91afb288d323dafc7882ab7a,en,,,0,,,,,,False,,False,0,True,low
Predicting rock properties.txt,Predicting rock properties,data\raw\txt,txt,txt,0.004,bb9483f75170bdb8f5c5abbec40601d4,en,,,0,,,,,,False,,False,0,True,low
Reservoir geophysics overview.txt,Reservoir geophysics overview,data\raw\txt,txt,txt,0.012,24916c66949af341caa3de69bc8b3bb8,en,,,0,,,,,,False,,False,0,True,low
Reservoir simulation applications.txt,Reservoir simulation applications,data\raw\txt,txt,txt,0.018,195b2862b52f7499569c1f4b3c337e7d,en,,,0,,,,,,False,,False,0,True,low
Seismic attributes for reservoir studies.txt,Seismic attributes for reservoir studies,data\raw\txt,txt,txt,0.018,dd0e532d880a38e22e13f448d5833f8c,en,,,0,,,,,,False,,False,0,True,low
Seismic attributes.txt,Seismic attributes,data\raw\txt,txt,txt,0.007,ba2c5cee17c607ff78a43f0f6a0e8aae,en,,,0,,,,,,False,,False,0,True,low
Seismic imaging and inversion.txt,Seismic imaging and inversion,data\raw\txt,txt,txt,0.018,7d456b3773076faf3ee7998714709007,en,,,0,,,,,,False,,False,0,True,low
Seismic interpretation.txt,Seismic interpretation,data\raw\txt,txt,txt,0.023,aecd12a92796d4bd27058e3d37bd0b17,en,,,0,,,,,,False,,False,0,True,low
Seismic time-lapse reservoir monitoring.txt,Seismic time-lapse reservoir monitoring,data\raw\txt,txt,txt,0.008,b992c255f4ddeadcdf59641fec438e28,en,,,0,,,,,,False,,False,0,True,low
WA1.txt,WA1,data\raw\txt,txt,txt,0.008,96852bc47943d4342a0190c3c8139404,en,,,0,,,,,,False,,False,0,True,low
