filename,doc_id,path,type,extension,size_Mb,hash,language,pages,sheets,table_count,dpi,noise,img_width,img_height,dpi_estimated,is_low_dpi,skew_angle,requires_ocr,image_count,has_geo_headers,ocr_risk
Use of spectral decomposition technique for delineation of channels at Solar gas discovery.pdf,Use of spectral decomposition technique for delineation of channels at Solar gas discovery,data\raw\pdf_text,pdf_text,pdf,2.52,c5059ac1d4f57f5c55dc6feb71d80e53,en,7.0,,0,39.0,70.96546192527055,87.0,84.0,39.0,True,,False,10,True,low
Well Logging in Support for Seismic Reservoir Characterization.pdf,Well Logging in Support for Seismic Reservoir Characterization,data\raw\pdf_text,pdf_text,pdf,0.991,24fa3d31d75c996e48bbb43a8b12afcf,en,5.0,,0,14.0,16.142828270533723,119.0,116.0,14.0,True,,False,60,True,low
Williston Basin Province Interpretation of 2-D Seismic Data.pdf,Williston Basin Province Interpretation of 2-D Seismic Data,data\raw\pdf_text,pdf_text,pdf,6.774,2a3de7e112a37f019154267b680992e3,en,9.0,,0,54.0,28.85301977791839,524.0,414.0,54.0,True,,False,9,True,low
2020_06_practical_4d_interpretation.pdf,2020_06_practical_4d_interpretation,data\raw\pdf_scans,pdf_scans,pdf,3.533,4432c097bebcdea26bcc451d6bac73db,unknown,4.0,,0,82.0,37.49300168544211,1413.0,1998.0,82.0,True,,True,4,False,medium
Alaska_North_Slope_petroleum_systems.pdf,Alaska_North_Slope_petroleum_systems,data\raw\pdf_scans,pdf_scans,pdf,0.238,0d78a5873dca12f338c1c90c6d9baf66,unknown,1.0,,0,72.0,42.60302392640257,2270.0,1434.0,72.0,True,,True,1,False,medium
Cheatsheet_basic.pdf,Cheatsheet_basic,data\raw\pdf_scans,pdf_scans,pdf,0.57,4da88ae4c7108d6c930f0a7467e26e85,unknown,1.0,,0,72.0,52.66486832855586,1650.0,1275.0,72.0,True,,True,1,False,medium
Cheatsheet_geophysics.pdf,Cheatsheet_geophysics,data\raw\pdf_scans,pdf_scans,pdf,0.64,f4385c18a1045ef9e9c12a03e1cf6816,unknown,1.0,,0,72.0,48.091929680670255,1650.0,1275.0,72.0,True,,True,1,False,medium
Cheatsheet_petroleum.pdf,Cheatsheet_petroleum,data\raw\pdf_scans,pdf_scans,pdf,0.568,f028dd084677278f83ceb311026496b3,unknown,1.0,,0,72.0,52.06172122032221,1650.0,1275.0,72.0,True,,True,1,False,medium
Cheatsheet_Petrophysics.pdf,Cheatsheet_Petrophysics,data\raw\pdf_scans,pdf_scans,pdf,0.46,a754922a76dcc584b6e0d7cad5371646,unknown,1.0,,0,75.0,35.29756980965824,1650.0,1275.0,75.0,True,,True,1,False,medium
Chopra_Churning seismic attributes with principal component analysis.pdf,Chopra_Churning seismic attributes with principal component analysis,data\raw\pdf_scans,pdf_scans,pdf,4.672,b2aa522a17aee67d7417102762018ae2,unknown,4.0,,0,86.0,55.53624854006513,1275.0,1650.0,86.0,True,,True,4,False,medium
Cruise Report for a Seismic Investigation of Gas Hydrates.pdf,Cruise Report for a Seismic Investigation of Gas Hydrates,data\raw\pdf_scans,pdf_scans,pdf,5.145,7dc5da6ecc338ae2eff7ef74e868ca3a,unknown,21.0,,0,72.0,20.875842574488413,1275.0,1650.0,72.0,True,,True,21,False,medium
Deriving Vp velocity and density properties.pdf,Deriving Vp velocity and density properties,data\raw\pdf_scans,pdf_scans,pdf,6.455,379af42e473c202dfcab491a9a94b1a2,unknown,18.0,,0,72.0,54.555821070860375,1241.0,1654.0,72.0,True,,True,18,False,medium
