model,accuracy,roc_auc,f1_macro,f1_weighted,precision_macro,recall_macro,f1_per_class,confusion_matrix,classification_report
logreg_tuned,0.8275862068965517,0.9278198653198652,0.810904071773637,0.832583708145927,0.8083333333333332,0.8257575757575757,"{'scientific_paper': 0.7142857142857143, 'seismic_geology_study': 0.7619047619047619, 'technical_report': 0.9565217391304348}","[[5, 1, 0], [3, 8, 0], [0, 1, 11]]","{'scientific_paper': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 6.0}, 'seismic_geology_study': {'precision': 0.8, 'recall': 0.7272727272727273, 'f1-score': 0.7619047619047619, 'support': 11.0}, 'technical_report': {'precision': 1.0, 'recall': 0.9166666666666666, 'f1-score': 0.9565217391304348, 'support': 12.0}, 'accuracy': 0.8275862068965517, 'macro avg': {'precision': 0.8083333333333332, 'recall': 0.8257575757575757, 'f1-score': 0.810904071773637, 'support': 29.0}, 'weighted avg': {'precision': 0.846551724137931, 'recall': 0.8275862068965517, 'f1-score': 0.832583708145927, 'support': 29.0}}"
linear_svc_tuned,0.8275862068965517,,0.810904071773637,0.832583708145927,0.8083333333333332,0.8257575757575757,"{'scientific_paper': 0.7142857142857143, 'seismic_geology_study': 0.7619047619047619, 'technical_report': 0.9565217391304348}","[[5, 1, 0], [3, 8, 0], [0, 1, 11]]","{'scientific_paper': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 6.0}, 'seismic_geology_study': {'precision': 0.8, 'recall': 0.7272727272727273, 'f1-score': 0.7619047619047619, 'support': 11.0}, 'technical_report': {'precision': 1.0, 'recall': 0.9166666666666666, 'f1-score': 0.9565217391304348, 'support': 12.0}, 'accuracy': 0.8275862068965517, 'macro avg': {'precision': 0.8083333333333332, 'recall': 0.8257575757575757, 'f1-score': 0.810904071773637, 'support': 29.0}, 'weighted avg': {'precision': 0.846551724137931, 'recall': 0.8275862068965517, 'f1-score': 0.832583708145927, 'support': 29.0}}"
linear_svc_calibrated,0.7586206896551724,0.9242424242424242,0.736111111111111,0.7614942528735632,0.7579365079365079,0.7651515151515151,"{'scientific_paper': 0.625, 'seismic_geology_study': 0.6666666666666666, 'technical_report': 0.9166666666666666}","[[5, 1, 0], [4, 6, 1], [1, 0, 11]]","{'scientific_paper': {'precision': 0.5, 'recall': 0.8333333333333334, 'f1-score': 0.625, 'support': 6.0}, 'seismic_geology_study': {'precision': 0.8571428571428571, 'recall': 0.5454545454545454, 'f1-score': 0.6666666666666666, 'support': 11.0}, 'technical_report': {'precision': 0.9166666666666666, 'recall': 0.9166666666666666, 'f1-score': 0.9166666666666666, 'support': 12.0}, 'accuracy': 0.7586206896551724, 'macro avg': {'precision': 0.7579365079365079, 'recall': 0.7651515151515151, 'f1-score': 0.736111111111111, 'support': 29.0}, 'weighted avg': {'precision': 0.8078817733990149, 'recall': 0.7586206896551724, 'f1-score': 0.7614942528735632, 'support': 29.0}}"
sgd_tuned,0.7241379310344828,0.9402356902356903,0.7096350501923258,0.7374438308568766,0.7348484848484849,0.7373737373737375,"{'scientific_paper': 0.5882352941176471, 'seismic_geology_study': 0.631578947368421, 'technical_report': 0.9090909090909091}","[[5, 1, 0], [5, 6, 0], [1, 1, 10]]","{'scientific_paper': {'precision': 0.45454545454545453, 'recall': 0.8333333333333334, 'f1-score': 0.5882352941176471, 'support': 6.0}, 'seismic_geology_study': {'precision': 0.75, 'recall': 0.5454545454545454, 'f1-score': 0.631578947368421, 'support': 11.0}, 'technical_report': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 12.0}, 'accuracy': 0.7241379310344828, 'macro avg': {'precision': 0.7348484848484849, 'recall': 0.7373737373737375, 'f1-score': 0.7096350501923258, 'support': 29.0}, 'weighted avg': {'precision': 0.7923197492163009, 'recall': 0.7241379310344828, 'f1-score': 0.7374438308568766, 'support': 29.0}}"
multinomial_nb,0.8275862068965517,0.9292929292929292,0.7533333333333333,0.8013793103448277,0.8772893772893773,0.75,"{'scientific_paper': 0.5, 'seismic_geology_study': 0.88, 'technical_report': 0.88}","[[2, 2, 2], [0, 11, 0], [0, 1, 11]]","{'scientific_paper': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 6.0}, 'seismic_geology_study': {'precision': 0.7857142857142857, 'recall': 1.0, 'f1-score': 0.88, 'support': 11.0}, 'technical_report': {'precision': 0.8461538461538461, 'recall': 0.9166666666666666, 'f1-score': 0.88, 'support': 12.0}, 'accuracy': 0.8275862068965517, 'macro avg': {'precision': 0.8772893772893773, 'recall': 0.75, 'f1-score': 0.7533333333333333, 'support': 29.0}, 'weighted avg': {'precision': 0.8550587343690792, 'recall': 0.8275862068965517, 'f1-score': 0.8013793103448277, 'support': 29.0}}"
