model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,score_combo
logreg_tuned,0.8275862068965517,0.810904071773637,0.832583708145927,0.8083333333333332,0.8257575757575757,0.9278198653198652,0.8148459752807578
linear_svc_tuned,0.8275862068965517,0.810904071773637,0.832583708145927,0.8083333333333332,0.8257575757575757,,0.8148459752807578
multinomial_nb,0.8275862068965517,0.7533333333333333,0.8013793103448277,0.8772893772893773,0.75,0.9292929292929292,0.7771245421245421
linear_svc_calibrated,0.7586206896551724,0.736111111111111,0.7614942528735632,0.7579365079365079,0.7651515151515151,0.9242424242424242,0.7491883116883117
sgd_tuned,0.7241379310344828,0.7096350501923258,0.7374438308568766,0.7348484848484849,0.7373737373737375,0.9402356902356903,0.7229993432779811
