author,file_tokens,num_tokens,vocab_size,num_sentences,avg_sentence_len,language,unique_ratio_%
dostoevsky,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\dostoevsky_tokens.txt,16700,3564,2249,19.62,en,21.34
kafka,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\kafka_tokens.txt,32209,3340,3814,21.95,en,10.37
asimov,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\asimov_tokens.txt,37684,2905,4074,15.62,en,7.71
shakespeare_balanced,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\shakespeare_balanced_tokens.txt,43544,6274,9737,9.27,en,14.41
