author,file_clean,size_chars,size_words,words_estimate,language,balanced
dostoevsky,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\dostoevsky.txt,244174,44132,40695,en,no
kafka,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\kafka.txt,456443,83728,76073,en,no
asimov,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\asimov.txt,391277,63632,65212,en,no
shakespeare_balanced,E:\projects\My_project\03_Word2Wec\word2vec_literature\data_clean\shakespeare_balanced.txt,499657,90223,83276,en,yes
